id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
180,1.0,0.319,0.001,0.054,0.011,0.616
181,1.0,0.659,0.0,0.004,0.0,0.337
182,1.0,0.645,0.0,0.007,0.0,0.348
183,1.0,0.543,0.0,0.003,0.0,0.454
184,1.0,0.242,0.0,0.002,0.227,0.529
185,1.0,0.051,0.0,0.072,0.247,0.63
186,1.0,0.273,0.0,0.091,0.322,0.315
187,1.0,0.828,0.002,0.028,0.025,0.117
188,1.0,0.845,0.0,0.04,0.015,0.101
189,1.0,0.823,0.0,0.004,0.015,0.159
190,1.0,0.543,0.0,0.095,0.164,0.198
191,1.0,0.592,0.135,0.133,0.059,0.082
192,1.0,0.543,0.045,0.217,0.131,0.064
193,1.0,0.646,0.002,0.048,0.108,0.197
194,1.0,0.073,0.002,0.207,0.299,0.418
195,1.0,0.617,0.045,0.051,0.183,0.103
196,0.772,0.816,0.002,0.003,0.138,0.042
197,0.943,1.0,0.0,0.0,0.0,0.0
198,1.0,1.0,0.0,0.0,0.0,0.0
199,1.0,0.784,0.0,0.216,0.0,0.0
200,1.0,0.47,0.0,0.53,0.0,0.0
201,1.0,0.157,0.0,0.708,0.0,0.135
202,1.0,0.083,0.0,0.03,0.0,0.887
203,1.0,0.04,0.0,0.0,0.031,0.929
204,1.0,0.145,0.0,0.196,0.025,0.634
205,1.0,0.082,0.0,0.02,0.668,0.23
206,1.0,0.031,0.0,0.0,0.511,0.459
207,1.0,0.044,0.0,0.0,0.538,0.418
208,1.0,0.031,0.0,0.0,0.893,0.076
209,1.0,0.018,0.0,0.034,0.947,0.0
210,1.0,0.013,0.0,0.007,0.808,0.172
211,1.0,0.032,0.0,0.098,0.339,0.532
212,1.0,0.037,0.0,0.125,0.544,0.294
213,1.0,0.031,0.036,0.492,0.404,0.037
214,1.0,0.35,0.0,0.437,0.212,0.0
215,1.0,0.388,0.004,0.165,0.314,0.128
216,1.0,0.112,0.002,0.109,0.079,0.699
217,1.0,0.232,0.0,0.0,0.036,0.731
218,1.0,0.063,0.0,0.0,0.085,0.852
219,1.0,0.109,0.0,0.001,0.006,0.884
220,1.0,0.571,0.0,0.001,0.016,0.411
221,1.0,0.982,0.0,0.014,0.004,0.0
222,1.0,0.403,0.0,0.043,0.006,0.548
223,1.0,0.023,0.0,0.078,0.004,0.895
224,1.0,0.016,0.003,0.435,0.003,0.543
225,1.0,0.023,0.016,0.894,0.002,0.065
226,1.0,0.183,0.0,0.358,0.004,0.455
227,1.0,0.738,0.0,0.007,0.0,0.256
228,1.0,1.0,0.0,0.0,0.0,0.0
229,1.0,1.0,0.0,0.0,0.0,0.0
230,1.0,1.0,0.0,0.0,0.0,0.0
231,1.0,1.0,0.0,0.0,0.0,0.0
