id,isa_val,eol_val,eol_dev,patch_ha
2351,7.81,7.29,0.816,83904
2352,1.49,1.32,0.163,83904
2353,0.17,0.02,0.002,356
2354,1.65,1.44,0.165,59768
2355,3.16,2.58,0.288,59768
2356,5.56,4.46,0.511,18964
2357,6.67,6.28,0.61,127060
2358,5.95,4.5,0.366,127060
2359,6.18,4.62,0.311,13932
2360,7.48,5.21,0.543,265132
2361,7.15,5.8,0.621,265132
2362,4.91,0.42,0.006,265132
2363,4.75,3.64,0.122,1116
2364,6.41,4.68,0.571,483044
2365,7.41,6.04,0.806,483044
2366,7.23,4.94,0.625,483044
2367,5.15,4.1,0.492,483044
2368,3.11,2.25,0.27,483044
2369,3.32,2.51,0.309,483044
2370,3.54,2.33,0.277,483044
2371,9.08,6.56,0.788,483044
2372,8.26,4.99,0.612,483044
2373,6.9,5.13,0.634,483044
2374,7.27,4.69,0.58,174608
2375,5.73,5.61,0.684,22044
2376,4.24,1.12,0.113,22044
2377,3.37,0.9,0.058,22044
2378,4.7,2.71,0.126,420
2379,3.9,2.48,0.154,2072
2380,4.43,3.07,0.051,352
2381,5.55,2.76,0.277,73020
2382,7.61,4.39,0.535,73020
2383,3.53,1.16,0.11,15740
2384,3.85,1.04,0.0,0
2385,4.36,0.89,0.018,1228
2386,4.34,0.58,0.048,1228
2387,2.95,0.38,0.003,200
2388,0.83,0.04,0.0,0
2389,0.26,0.0,0.0,0
2390,1.45,0.0,0.0,0
2391,1.13,0.0,0.0,0
2392,0.0,0.0,0.0,0
2393,0.6,0.36,0.0,0
2394,2.62,1.08,0.037,2584
2395,1.09,0.39,0.019,2584
2396,0.71,0.49,0.0,0
2397,0.32,0.08,0.0,0
2398,1.19,0.62,0.0,0
2399,1.26,0.6,0.0,0
2400,0.49,0.23,0.0,1852
2401,1.92,0.9,0.0,416
2402,2.4,0.91,0.0,1885384
2403,7.24,4.9,0.257,1885384
2404,8.13,4.17,0.291,1885384
2405,3.88,1.7,0.141,1885384
2406,7.66,2.88,0.309,1885384
2407,8.16,4.1,0.437,1885384
2408,3.73,1.77,0.193,1885384
2409,0.96,0.59,0.066,1885384
2410,6.47,5.15,0.556,1885384
2411,8.77,6.6,0.73,1885384
2412,8.81,6.95,0.748,1885384
2413,8.7,6.93,0.732,1885384
2414,7.32,5.44,0.413,1885384
2415,3.83,3.01,0.079,1885384
2416,2.0,1.57,0.125,1885384
2417,6.51,5.51,0.611,1885384
2418,6.22,5.0,0.542,1885384
2419,5.94,4.53,0.492,1885384
2420,9.57,7.78,0.828,1885384
2421,9.22,7.38,0.819,1885384
2422,8.06,6.55,0.697,1885384
2423,8.45,7.57,0.832,83904
2424,1.49,0.9,0.072,83904
2425,0.09,0.02,0.003,28
2426,0.09,0.02,0.003,60
2427,0.34,0.03,0.004,18964
2428,0.26,0.18,0.022,18964
2429,2.66,1.64,0.118,127060
2430,4.59,3.83,0.403,3336
2431,2.86,2.8,0.011,3336
2432,6.64,6.51,0.476,265132
2433,6.75,5.37,0.457,265132
2434,6.43,4.95,0.473,265132
2435,6.1,5.55,0.451,483044
2436,7.46,6.38,0.678,483044
2437,7.42,5.36,0.702,483044
2438,6.61,3.37,0.396,483044
2439,5.26,2.61,0.317,483044
2440,4.7,4.27,0.517,16880
2441,0.41,0.4,0.049,16880
2442,2.89,2.57,0.303,483044
2443,8.18,6.74,0.776,483044
2444,7.78,5.78,0.512,483044
2445,7.56,5.52,0.601,483044
2446,8.65,7.08,0.866,174608
2447,6.99,4.13,0.508,174608
2448,5.31,1.68,0.026,6168
